index,word,levelNumber,context,writtenFrequencyPerMillion,spokenFrequencyPerMillion,frequencyPerMillion,zhuyin,pinyin
610,便利商店,2.5,核心詞,0,0,0,ㄅㄧㄢˋ ㄌㄧˋ ㄕㄤ ㄉㄧㄢˋ,biànlìshāngdiàn   
611,別的,2.5,核心詞,55,38,93,ㄅㄧㄝˊ ˙ㄉㄜ,biéde 
612,比方說/比方,2.5,核心詞,20,82,102,ㄅㄧˇ ㄈㄤ ㄕㄨㄛ / ㄅㄧˇ ㄈㄤ,bǐfāngshuō / bǐfāng   
613,冰塊,2.5,10.餐飲、烹飪,7,16,23,ㄅㄧㄥ ㄎㄨㄞˋ,bīngkuài 
614,冰淇淋,2.5,10.餐飲、烹飪,13,4,17,ㄅㄧㄥ ㄑㄧˊ ㄌㄧㄣˊ,bīngqílín  
615,冰箱,2.5,2.日常起居,20,29,49,ㄅㄧㄥ ㄒㄧㄤ,bīngxiāng 
616,伯伯/伯,2.5,1.個人資料,11,30,41,ㄅㄛˊ ˙ㄅㄛ / ㄅㄛˊ,bóbo / bó 
617,不好意思,2.5,6.社交、人際,15,54,69,ㄅㄨˋ ㄏㄠˇ ㄧˋ ˙ㄙ ,bùhǎoyìsi    
618,不見了,2.5,核心詞,36,17,53,ㄅㄨˊ ㄐㄧㄢˋ ˙ㄌㄜ,bújiànle
619,不客氣,2.5,6.社交、人際,0,0,0,ㄅㄨˊ ㄎㄜˋ ㄑㄧˋ,búkèqì
620,菜單,2.5,10.餐飲、烹飪,8,7,15,ㄘㄞˋ ㄉㄢ,càidān 
621,餐,2.5,核心詞,25,63,88,ㄘㄢ,cān
622,草,2.5,13.自然環境,46,196,242,ㄘㄠˇ,cǎo
623,茶館,2.5,5.交通、旅遊,11,1,12,ㄔㄚˊ ㄍㄨㄢˇ,cháguǎn 
624,炒,2.5,10.餐飲、烹飪,28,53,81,ㄔㄠˇ ,chǎo 
625,超商,2.5,9.購物、商店,5,5,10,ㄔㄠ ㄕㄤ,chāoshāng
626,超市/超級市場,2.5,9.購物、商店,17,19,36,ㄔㄠ ㄕˋ / ㄔㄠ ㄐㄧˊ ㄕˋ ㄔㄤˇ,chāoshì/ chāojíshìchǎng
627,叉子/叉,2.5,10.餐飲、烹飪,12,14,26,ㄔㄚ ˙ㄗ / ㄔㄚ,chāzi / chā 
628,車站,2.5,5.交通、旅遊,27,25,52,ㄔㄜ ㄓㄢˋ,chēzhàn 
629,臭,2.5,核心詞,33,30,63,ㄔㄡˋ,chòu
630,窗/窗戶/窗子,2.5,2.日常起居,124,51,175,ㄔㄨㄤ / ㄔㄨㄤ ㄏㄨˋ / ㄔㄨㄤ ˙ㄗ,chuāng / chuānghù / chuāngzi  
631,聰明,2.5,核心詞,135,81,216,ㄘㄨㄥ ㄇㄧㄥˊ,cōngmíng 
